Incident ID,Date,Governorate,District,Area,Target,Main category,Sub-category,Min projectiles,Max projectiles,Civilian Casualties,Fatalities ,Woman fatalities,Child fatalities,Injured ,Woman injured,Child injured, Confirmed Time,Time of Day
1,12/01/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,2,Early-Morning
2,12/01/2024,Hajja,Abs,,Abs Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,3,Early-Morning
3,12/01/2024,Taiz,Al-Taiziyah,Al-Janad,Taiz Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,3,Early-Morning
4,12/01/2024,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Air Base,Military_Security_Target,Military Site,1,4,0,0,0,0,0,0,0,2,Early-Morning
5,12/01/2024,Saada,Sa'ada,Kahlan,Kahlan Military Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,3,Early-Morning
6,12/01/2024,Saada,Majz,Jabal Sama,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,4,Early-Morning
7,12/01/2024,Saada,Majz,Takhyah,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,4,Early-Morning
8,12/01/2024,Hudaydah,Zabid,,Unknown,Unknown,Unknown - Frontline area,1,2,0,0,0,0,0,0,0,3,Early-Morning
9,12/01/2024,Taiz,Al-Taiziyah,Al-Janad,22nd Armoured Brigade,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,3,Early-Morning
10,12/01/2024,Hudaydah,Al-Hawak,Al-Hudaydah Airport,Al-Hudaydah Airport,Infrastructure,Transport,1,2,0,0,0,0,0,0,0,6,Morning
11,13/01/2024,Capital,Bani Al-Harith,Al-Rahabah,Al-Daylami Air Base,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,3,Early-Morning
12,13/01/2024,Hudaydah,Al-Mina,Al-Katib,Naval Base,Military_Security_Target,Military Site,1,1,0,0,0,0,0,0,0,18,Evening
13,14/01/2024,Hudaydah,Al-Luhaiyah,Jabal Juda,Unknown,Unknown,Unknown - Non-frontline area,1,2,0,0,0,0,0,0,0,19,Evening
14,16/01/2024,Bayda,Mukayras,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,3,0,0,0,0,0,0,0,13,Midday
15,17/01/2024,Saada,Majz,Takhyah,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night
16,17/01/2024,Dhamar,Dhamar City,,Military Police Camp,Military_Security_Target,Military Site,1,2,0,0,0,0,0,0,0,23,Night
17,17/01/2024,Hudaydah,Al-Munirah,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night
18,17/01/2024,Taiz,Al-Taiziyah,,Pro-Houthi Missile,Military_Security_Target,Other-Military,1,2,0,0,0,0,0,0,0,23,Night
